ProductCode,ImageCount,CoverImage,AllImages
ATP1873,24,"/uploads/2026/08/06/37f92dfa-2784-4713-bfd8-97e468f1750b.png","/uploads/2026/08/06/1d7c0096-2785-42c3-b230-315ba29881b2.png|SIDE;/uploads/2026/08/06/37f92dfa-2784-4713-bfd8-97e468f1750b.png|FRONT;/uploads/2026/08/06/1e5e1690-a4fd-4905-874d-9dcc124761dd.png|DETAIL;/uploads/2026/08/06/a9b55d01-6a89-4971-a60f-894ef8005744.png|SIDE;/uploads/2026/08/06/329ce1db-8586-4b34-aef6-2f31a8602e72.png|FRONT;/uploads/2026/08/06/df175824-3d94-44d1-a4ba-f093a0967b23.png|DETAIL;/uploads/2026/08/06/41e82b3b-3059-400e-a4f1-bcfbbc674667.png|SIDE;/uploads/2026/08/06/8f65786b-f6d7-489f-9e22-8d2d26d0f709.png|FRONT;/uploads/2026/08/06/f6de85f0-9c39-413c-87a1-84b1a3c7e850.png|DETAIL;/uploads/2026/08/06/95502ac0-6897-4546-b513-ced8fcde423b.png|SIDE;/uploads/2026/08/06/55562372-c2a7-493a-be83-d65e6d707292.png|FRONT;/uploads/2026/08/06/9fc86343-8a68-418d-afe8-ac949692f447.png|DETAIL;/uploads/2026/08/06/a906a156-5d56-4577-92ed-0ba40f6ec450.png|SIDE;/uploads/2026/08/06/35ab01dd-b62d-4a6d-8555-8a95c897154a.png|FRONT;/uploads/2026/08/06/13504ecd-c4b3-4ba1-829f-089190457065.png|DETAIL;/uploads/2026/08/06/8b895c74-e577-40e0-b0d9-beb524a0d890.png|SIDE;/uploads/2026/08/06/239098b1-e9d9-4967-b775-646c2deb3ac1.png|FRONT;/uploads/2026/08/06/c7b6f008-7cee-4e21-a0bd-666551cbdadf.png|DETAIL;/uploads/2026/08/06/8b319e30-a8bc-449b-aade-1c871b5c0ab0.png|SIDE;/uploads/2026/08/06/7a64d41f-091c-4354-add2-4797fb68d7b1.png|FRONT;/uploads/2026/08/06/2530abdb-74ae-4353-a74e-fdabfdb4e932.png|DETAIL;/uploads/2026/08/06/9ab1b944-a0e8-49a6-804a-9be63d50c465.png|SIDE;/uploads/2026/08/06/2cecda88-7e67-4815-8245-74547ea9fcdd.png|FRONT;/uploads/2026/08/06/414a35ca-88a2-408d-a8aa-e8dd0008a337.png|DETAIL"
ATP1909,3,"/uploads/2026/08/06/4d4104ca-f515-47ec-84d6-1debc248df78.png","/uploads/2026/08/06/d66036fc-f413-44d2-ad6a-7a7f3ec0a4ed.png|SIDE;/uploads/2026/08/06/4d4104ca-f515-47ec-84d6-1debc248df78.png|FRONT;/uploads/2026/08/06/35428b14-19fe-44e0-8f5d-360151980886.png|DETAIL"
ATP1910,3,"/uploads/2026/08/06/cb14466b-b8fb-4bac-bcca-6b53826b1f55.png","/uploads/2026/08/06/48bdbdb0-3628-4c82-816b-1cc416262f9a.png|SIDE;/uploads/2026/08/06/cb14466b-b8fb-4bac-bcca-6b53826b1f55.png|FRONT;/uploads/2026/08/06/ae2067f7-65ae-4530-9dac-2381734de56d.png|DETAIL"
ATP2554,2,"/uploads/2026/08/06/0d7b7652-c156-40b2-aada-5e5bb0f37676.png","/uploads/2026/08/06/0d7b7652-c156-40b2-aada-5e5bb0f37676.png|FRONT;/uploads/2026/08/06/6f3bf846-1c7b-49b0-af84-f250d868bd41.png|DETAIL"
ATP3662,3,"/uploads/2026/08/06/bdc8ae2b-1bec-4421-bb0f-f8288c4d231c.png","/uploads/2026/08/06/bcbbcdd8-dfeb-4cdd-9488-c1fd8e39716a.png|SIDE;/uploads/2026/08/06/bdc8ae2b-1bec-4421-bb0f-f8288c4d231c.png|FRONT;/uploads/2026/08/06/18235f4b-efe5-4eea-8c48-f9ba2bbac552.png|DETAIL"
ATP3663,3,"/uploads/2026/08/06/9162dd83-38c2-430d-af77-facf22d6f75c.png","/uploads/2026/08/06/8d33809c-9e72-48d4-b206-01c06bb68002.png|SIDE;/uploads/2026/08/06/9162dd83-38c2-430d-af77-facf22d6f75c.png|FRONT;/uploads/2026/08/06/e8bd11e4-7d66-499a-b700-2a8faf42b643.png|DETAIL"
ATP3664,3,"/uploads/2026/08/06/b0f251fd-2fee-4f5e-aea4-360017811129.png","/uploads/2026/08/06/e623e83d-8d91-48d2-9e79-c30d4acbd7fa.png|SIDE;/uploads/2026/08/06/b0f251fd-2fee-4f5e-aea4-360017811129.png|FRONT;/uploads/2026/08/06/38b20b90-2726-41ef-bcd6-ae1f65512f48.png|DETAIL"
ATP3665,2,"/uploads/2026/08/06/be42a632-cfc0-4c4c-9f33-8e53efa66648.png","/uploads/2026/08/06/0c4e22f5-928f-43fb-95e3-d1dd815de61d.png|SIDE;/uploads/2026/08/06/be42a632-cfc0-4c4c-9f33-8e53efa66648.png|FRONT"
